cognome_nome,url,gruppo,cognome,nome,sesso
Saverino Ersilia,https://www.ars.sicilia.it/deputati/saverino-ersilia?idLeg=71,Partito Democratico XVIII Legislatura,Saverino,Ersilia,femmina
Schifani Renato,https://www.ars.sicilia.it/deputati/schifani-renato?idLeg=71,Forza Italia all'ARS,Schifani,Renato,maschio
Schillaci Roberta,https://www.ars.sicilia.it/deputati/schillaci-roberta?idLeg=71,Movimento 5 Stelle,Schillaci,Roberta,femmina
Sciotto Matteo,https://www.ars.sicilia.it/deputati/sciotto-matteo?idLeg=71,Sud chiama Nord,Sciotto,Matteo,maschio
Scuvera Salvatore,https://www.ars.sicilia.it/deputati/scuvera-salvatore?idLeg=71,Fratelli d'Italia XVIII Legislatura,Scuvera,Salvatore,maschio
Spada Tiziano Fabio,https://www.ars.sicilia.it/deputati/spada-tiziano-fabio?idLeg=71,Partito Democratico XVIII Legislatura,Spada,Tiziano Fabio,maschio
Sunseri Luigi,https://www.ars.sicilia.it/deputati/sunseri-luigi?idLeg=71,Movimento 5 Stelle,Sunseri,Luigi,maschio
Tamajo Edmondo,https://www.ars.sicilia.it/deputati/tamajo-edmondo?idLeg=71,Forza Italia all'ARS,Tamajo,Edmondo,maschio
Tomarchio Salvo,https://www.ars.sicilia.it/deputati/tomarchio-salvo?idLeg=71,Forza Italia all'ARS,Tomarchio,Salvo,maschio
Turano Girolamo,https://www.ars.sicilia.it/deputati/turano-girolamo?idLeg=71,Prima l'Italia - Lega Salvini Premier,Turano,Girolamo,maschio
Varrica Adriano,https://www.ars.sicilia.it/deputati/varrica-adriano?idLeg=71,Movimento 5 Stelle,Varrica,Adriano,maschio
Venezia Sebastiano,https://www.ars.sicilia.it/deputati/venezia-sebastiano?idLeg=71,Partito Democratico XVIII Legislatura,Venezia,Sebastiano,maschio
Vitrano Gaspare,https://www.ars.sicilia.it/deputati/vitrano-gaspare?idLeg=71,Forza Italia all'ARS,Vitrano,Gaspare,maschio
Zitelli Giuseppe,https://www.ars.sicilia.it/deputati/zitelli-giuseppe?idLeg=71,Fratelli d'Italia XVIII Legislatura,Zitelli,Giuseppe,maschio
